date_start,date_end,date_mid,BA.2,BA.2.75,BA.5,BF.7,BN.1,BQ.1,BQ.1.1,XBB+1.5+1.9.1+1.9.2+1.16,XBB+1.9.1+1.9.2+1.16,XBB,XBB.1.5,XBB.1.9.1,XBB.1.9.2,XBB.1.16,XBB.1.16 (transient-free),others,
2022-11-08,2022-11-14,2022-11-11,51,93,3393,213,224,83,309,26,,,,,,,,,
2022-11-15,2022-11-21,2022-11-18,50,115,3836,271,305,165,480,28,,,,,,,,,
2022-11-22,2022-11-28,2022-11-25,51,178,4163,420,363,180,538,31,,,,,,,,,
2022-11-29,2022-12-05,2022-12-02,37,242,4166,476,398,154,547,33,,,,,,,,,
2022-12-06,2022-12-12,2022-12-09,52,209,4085,632,504,212,757,29,,,,,,,,,
2022-12-13,2022-12-19,2022-12-16,74,247,3804,749,547,218,878,,27,,4,,,,,,
2022-12-20,2022-12-26,2022-12-23,76,227,3485,865,598,230,941,,24,,6,,,,,,
2022-12-27,2023-01-02,2022-12-30,46,97,1660,478,383,125,520,,6,,8,,,,,,
2023-01-03,2023-01-09,2023-01-06,71,163,2307,776,500,163,766,,10,,7,,,,,,
2023-01-10,2023-01-16,2023-01-13,34,138,1795,671,496,169,678,,9,,12,,,,,,
2023-01-17,2023-01-23,2023-01-20,20,98,1209,453,367,108,521,,10,,18,,,,,,
2023-01-24,2023-01-30,2023-01-27,17,58,629,291,190,82,325,,7,,12,,,,,,
2023-01-31,2023-02-06,2023-02-03,8,40,444,223,209,45,230,,7,,16,,,,,,
2023-02-07,2023-02-13,2023-02-10,5,23,253,156,148,32,139,,6,,22,,,,,,
2023-02-14,2023-02-20,2023-02-17,5,11,151,91,83,11,90,,9,,22,,,,,,
2023-02-21,2023-02-27,2023-02-24,2,7,125,68,53,24,52,,16,,26,,,,,,
2023-02-28,2023-03-06,2023-03-03,3,2,71,42,63,11,33,,13,,43,,,,,,
2023-03-07,2023-03-13,2023-03-10,1,5,58,27,60,15,30,,34,,73,,,,,,
2023-03-14,2023-03-20,2023-03-17,2,4,28,27,47,13,35,,33,,48,,,,,,
2023-03-20,2023-03-26,2023-03-23,1,9,34,28,49,9,24,,,21,87,34,4,0,,7,
2023-03-27,2023-04-02,2023-03-30,1,14,17,21,35,19,22,,,46,114,56,5,0,,5,
2023-04-03,2023-04-09,2023-04-06,1,12,24,18,34,11,32,,,48,152,110,7,0,,5,
2023-04-10,2023-04-16,2023-04-13,2,13,13,31,26,11,32,,,42,165,105,12,31,,1,
2023-04-17,2023-04-23,2023-04-20,5,17,14,17,28,5,16,,,64,127,129,27,76,76,5,530
2023-04-24,2023-04-30,2023-04-27,6,15,5,10,18,9,22,,,54,148,124,38,102,102,2,553
2023-05-01,2023-05-07,2023-05-04,7,17,4,0,23,3,5,,,60,91,84,29,125,125,2,450
2023-05-08,2023-05-14,2023-05-11,0,3,0,0,5,2,0,,,10,26,21,6,27,27,0,100
2023-05-15,2023-05-21,2023-05-18,,,,,,,,,,,,,,,,,
2023-05-22,2023-05-28,2023-05-25,,,,,,,,,,,,,,,,,